alabama,1,Incumbent,R,False,10970054,0.6709999999999999,0.001,0.28300000000000003,0.03,39.4,44535,55.7,0.039,3.26,2018.05,0.33,68.25
alabama,1,Challenger,D,True,,0.6709999999999999,0.001,0.28300000000000003,0.03,39.4,44535,55.7,0.039,3.26,2018.05,0.33,31.75
alabama,1,Incumbent,R,False,4485200,0.6709999999999999,0.001,0.28300000000000003,0.03,39.4,44535,55.7,0.039,3.81,1412.16,0.37,100
alabama,2,Incumbent,R,False,10970054,0.643,0.002,0.318,0.03,38.0,42395,56.7,0.044000000000000004,3.26,2018.05,0.33,67.41
alabama,2,Challenger,D,True,,0.643,0.002,0.318,0.03,38.0,42395,56.7,0.044000000000000004,3.26,2018.05,0.33,32.59
alabama,2,Incumbent,R,False,4485200,0.643,0.002,0.318,0.03,38.0,42395,56.7,0.044000000000000004,3.81,1412.16,0.37,63.66
alabama,2,Challenger,D,True,120120590,0.643,0.002,0.318,0.03,38.0,42395,56.7,0.044000000000000004,3.81,1412.16,0.37,36.34
alabama,3,Incumbent,R,False,10970054,0.7,0.002,0.253,0.03,38.5,42171,56.6,0.04,3.26,2018.05,0.33,66.22
alabama,3,Challenger,D,True,,0.7,0.002,0.253,0.03,38.5,42171,56.6,0.04,3.26,2018.05,0.33,33.78
alabama,3,Incumbent,R,False,4485200,0.7,0.002,0.253,0.03,38.5,42171,56.6,0.04,3.81,1412.16,0.37,64.11
alabama,3,Challenger,D,True,120120590,0.7,0.002,0.253,0.03,38.5,42171,56.6,0.04,3.81,1412.16,0.37,35.89
alabama,4,Incumbent,R,False,10970054,0.883,0.002,0.07200000000000001,0.063,40.5,39608,52.8,0.031,3.26,2018.05,0.33,100
alabama,4,Incumbent,R,False,4485200,0.883,0.002,0.07200000000000001,0.063,40.5,39608,52.8,0.031,3.81,1412.16,0.37,74.07
alabama,4,Challenger,D,True,120120590,0.883,0.002,0.07200000000000001,0.063,40.5,39608,52.8,0.031,3.81,1412.16,0.37,25.93
alabama,5,Incumbent,R,False,10970054,0.768,0.002,0.175,0.051,39.8,51531,59.2,0.042,3.26,2018.05,0.33,100
alabama,5,Incumbent,R,False,4485200,0.768,0.002,0.175,0.051,39.8,51531,59.2,0.042,3.81,1412.16,0.37,65.02
alabama,5,Challenger,D,True,120120590,0.768,0.002,0.175,0.051,39.8,51531,59.2,0.042,3.81,1412.16,0.37,34.98
alabama,6,Challenger,R,False,10970054,0.79,0.002,0.155,0.042,38.5,61524,62.9,0.032,3.26,2018.05,0.33,76.27
alabama,6,Challenger,D,True,,0.79,0.002,0.155,0.042,38.5,61524,62.9,0.032,3.26,2018.05,0.33,23.73
alabama,6,Incumbent,R,False,4485200,0.79,0.002,0.155,0.042,38.5,61524,62.9,0.032,3.81,1412.16,0.37,71.3
